Model,Username,User_Country,User_Province,User_City,User_PostalCode,Numpublication,NumPublicationAdoption,NumPublicationHelp,NumPublicationStray,NumComment,UserAge,Work,Studies,"Marital Status",Children,Housing,"Other Pets",NumPets,Gender,Specie,Chip,Sex,Race,Age,State
User,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
Pages,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
Animal,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
Animal,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,dog,no,unknow,caniche,4,unknown
PublicationAdoption,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
PublicationAdoption,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,dog,yes,unknow,yorkshire,9,unknown
Event,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,,,,,,
PublicationAdoption,admin,españa,Pontevedra,Desconocida,1,6,1,1,4,2,23,admin,admin,admin,1,admin,dog,3,,dog,yes,unknow,yorkshire,9,unknown
Comment,Ellen,Republica Dominicana,El Hierro,Canary Islands,76436,4126,1502,1700,924,1249,36,Contador,Sociología y antropología,relationship,11,,dog,5,female,,,,,0,
Event,Stephanie,Paraguay,Huelva,Alcántara,53514,4845,1408,1916,1521,26,36,Médico cirujano,Bachillerato,divorced,1,terraced house,hamster,12,other,,,,,0,
PublicationAdoption,Lester,Uruguay,Soria,Algeciras,15816,2653,145,1514,994,58,21,Cerrajero,Tecnologías de la información y comunicación,,12,quadplex,cat,14,male,other,yes,intact_female,Galgo Italiano,10,other
Comment,Susan,Malta,Cádiz,Sevilla,49746,3543,1525,214,1804,863,5,,Trabajo y atención social,married,12,detached house,dog,17,other,,,,,0,
PublicationStrayAddress,Troy,Alemania,Albacete,Lucena,10887,3518,1311,789,1418,1925,87,Electricista,Contabilidad y fiscalización,married,13,duplex,,1,,,,,,0,
PublicationAdoption,Madeline,Alemania,Burgos,Huelva,24648,1841,990,603,248,1342,70,Ingeniero,Tecnología y protección del medio ambiente,single,15,triplex,hamster,14,,turtles,yes,castrated_male,Viejo Pointer Danés (Old Danish Pointer),3,dead
PublicationHelp,Kevin,Colombia,La Palma,Algeciras,72507,2241,58,1536,647,1749,58,Farmacólogo,Derecho,separated,18,,,17,other,,,,,0,
PublicationHelp,Deborah,Peru,Lérida,Girona,85373,2616,638,106,1872,35,33,Lechero,Administración y gestión de empresas,divorced,12,apartment,cat,5,female,,,,,0,
PublicationStrayAddress,Adrian,Guatemala,Alicante,Álava,12206,4612,1530,1832,1250,39,97,Politólogo,Ciencias políticas,single,20,duplex,other,7,nobinary,,,,,0,
Event,Fannie,Reino Unido,Burgos,Mataró,31338,4597,1285,1848,1464,20,93,Bibliotecólogo,Bachillerato,relationship,1,triplex,hamster,2,female,,,,,0,
Event,Henry,España,Ceuta,Reus,37840,3963,1935,702,1326,1325,100,Electricista,Ingeniería Informatica,relationship,14,flat,dog,20,male,,,,,0,
Comment,Jim,Paraguay,Soria,Guadalupe,51194,2885,1814,359,712,1909,22,Contador,"Negocios y administración, programas multidisciplinarios o generales",single,0,triplex,snake,15,male,,,,,0,
Comment,Kathy,Cuba,León,Sestao,11347,1587,593,754,240,273,16,Técnico de sonido,"Negocios y administración, programas multidisciplinarios o generales",,1,ground floor with garden,turtles,12,nobinary,,,,,0,
PublicationAdoption,Willie,El Salvador,Guipuzcoa,Canary Islands,99626,3831,1086,1043,1702,1152,93,Médico cirujano,Ingeniería mecánica y metalurgia,divorced,8,quadplex,other,9,other,cat,no,castrated_male,Sabueso Francés tricolor,3,other
PublicationHelp,Teresa,Republica Dominicana,Huelva,Madrid,32387,1903,800,489,614,1170,23,Profesor,Administración y gestión de empresas,,16,detached house,turtles,8,female,,,,,0,
PublicationStrayAddress,Rodney,El Salvador,Alicante,Tomelloso,74034,5509,1900,1951,1658,1593,17,Secretaria,Trabajo y atención social,separated,9,terraced house,cat,6,nobinary,,,,,0,
Animal,Frances,Bolivia,Asturias,Valladolid,84856,1737,683,817,237,1470,90,Técnico de sonido,Tecnologías de la información y comunicación,single,6,ground floor,snake,20,female,bunny,yes,intact_female,Teckel (Dachshund),6,sick
PublicationStray,Thomas,Venezuela,La Palma,Mieres,87372,4363,1486,1214,1663,512,26,Carpintero,Ciencias políticas,divorced,3,apartment,hamster,9,male,,,,,0,
PublicationStrayAddress,Thomas,Nicaragua,Cádiz,Vic,50415,3622,968,1613,1041,876,61,Periodista,Psicología,relationship,12,flat,hamster,5,male,,,,,0,
PublicationHelp,Opal,Costa Rica,Cáceres,Caravaca,12365,3592,1318,1656,618,1270,45,Electricista,Economía,single,3,ground floor,hamster,11,male,,,,,0,
PublicationStray,George,Singapur,Lérida,Andújar,70588,4376,1786,892,1698,1780,81,Mecánico,Contabilidad y fiscalización,married,1,,dog,8,female,,,,,0,
PublicationStrayAddress,Diamond,Republica de Irlanda,Teruel,Córdoba,10841,2523,1245,444,834,649,78,Psicólogo,Ingeniería mecánica y metalurgia,relationship,11,,cat,5,,,,,,0,
PublicationAdoption,Myra,Panama,Cádiz,Eibar,35013,2450,263,1883,304,509,0,Físico,Bellas artes,divorced,19,,hamster,1,male,bunny,,neutered_female,Maltés,13,foster
Event,Janice,Ecuador,Tarragona,Ciudad Real,65441,3409,1402,286,1721,1127,34,Ingeniero,Tecnologías de la información y comunicación,,10,semi-detached house,snake,2,nobinary,,,,,0,
Comment,Marie,Singapur,Girona,La Orotava,63521,4044,699,1509,1836,1485,0,Contador,ESO,,13,flat,dog,20,,,,,,0,
Comment,Lloyd,Guatemala,Guipuzcoa,Getxo,59112,2873,709,868,1296,1472,24,Contador,Bachillerato,separated,17,duplex,turtles,12,female,,,,,0,
Animal,Thomas,Alemania,Cuenca,Málaga,18626,4345,965,1898,1482,1669,9,Profesor,Psicología,married,10,ground floor,,4,nobinary,snake,no,intact_female,Weimaraner,9,foster
PublicationAdoption,Ollie,Argentina,Madrid,Ceuta (autonomous city),40930,1669,621,466,582,1208,33,Lavandero,ESO,separated,17,ground floor,snake,1,nobinary,turtles,unknown,intact_female,Sabueso de Istria,17,other
PublicationAdoption,Gladys,Chile,La Gomera,Málaga,58079,3329,1069,714,1546,966,24,Geógrafo,Economía,single,14,studio,snake,17,female,dog,yes,intact_male,Norfolk terrier,9,healthy
Event,Ora,Bolivia,Málaga,Antequera,77425,3207,1067,500,1640,1358,86,Sociólogo,"Finanzas, banca y seguros",relationship,11,attic,turtles,16,nobinary,,,,,0,
PublicationAdoption,Harold,Paraguay,Burgos,Santa Coloma de Gramenet,12226,4782,1573,1514,1695,950,30,Archivólogo,Bachillerato,single,2,ground floor with garden,other,5,nobinary,other,no,intact_female,Otterhound,18,unknown
Comment,Matthew,Singapur,Mallorca,Santiago de Compostela,12938,3359,1755,721,883,1955,39,Contador,Mercadotecnia y publicidad,divorced,14,semi-detached house,snake,8,other,,,,,0,
